Puzzle,Solution,
.5...3....3.7684......9..7.....1...78....59..3..4..61..6...1.........5...1.9467..,457123896139768452628594173546219387871635924392487615763851249984372561215946738,
.8.....4..75...3...4.3..6.....45.....3....498...........8.3.7.9...56.13.61...7..4,386271945975846321142395687861459273537612498429783516258134769794568132613927854,
8........91.....45....8.93.235....1.1........4.9.2175......5...5....9.82..7..3...,863954271912376845754182936235497618176538429489621753398245167541769382627813594,
..1...7.....49..6...6.31..9...2...8......7.1.....84.92..........371..2...4.37.6..,981526734273498165456731829694213587328957416715684392162845973537169248849372651,
..1.45.....73...82.3.2...65.72...8..6....7..3....8..7..5...1..............87...46,821645397567319482439278165972136854685497213143582679354961728796824531218753946,
2...94..81..57........8...75.6..9.8..2..574.......8....4.....5...9..58....1...9.4,267394518183572649495681237576439182328157496914268375842916753639745821751823964,
........3...9.1.....3.2.7...5.7......8..1.24..2.543.....5.7.4.9.3..9.1....2...8..,261457983874931562593826714456782391387619245129543678615378429738294156942165837,
3.........85..........7...2.68..923...78...6....16..8.5...9.3.7.2.65..9..7.......,392581674785426913641973852168749235957832461234165789516298347423657198879314526,
2.7...3.6.86....7.............15...8.693.7.2...5.96....2.9...61.....2...6.8.7....,297841356486523179531769284372154698169387425845296713724938561953612847618475932,
...1......8296...56.1.42.7..5....8.29...8.1....8.1..6.7.56......9...............7,579138246482967315631542978154796832967283154328415769715629483896374521243851697,
.............61....86.7....4......8..1.39..4736.4.8..1.4.5.96...3.........5.1.9.4,123845769754961823986273415492157386518396247367428591241539678639784152875612934,
16..4.8......2....8.5..1.3.5........2.4.3.1...761.......8..3.4..2..8...6..14..78.,162345879347829561895761234513274698284936157976158423758613942429587316631492785,
6....75.......2.6.452..8.....5...7...1..3..8....6.......81....4..6...2..27..5...3,683917542791542368452368197365894721917235486824671935538129674146783259279456813,
.......3..9..5.12...4.1....8.....65.5..24......13...8..12...8....89......6.4.....,185724936697853124234619578843197652576248391921365487712536849458971263369482715,
.7.....9...298......6..75...5...6.724.87......3...9...2.....6..98..2...3.......5.,374562198512984367896317524159836472428751936637249815245173689981625743763498251,
.134.....2....89..4....2..3.....3......9..6.4.5....2.1..4.5..29.....68..8..2.9...,613497582275138946498562173942613758187925634356784291764851329529346817831279465,
1.9....7...672...9...3.....5.4.3....7....5..6..........1.29.43.....4.9.2.4....1.5,189654273436728519257319648564937821721485396398162754815296437673541982942873165,
8.2..3......4.6...........6....1.39..2..6..78.9...8.2.984....3..76...4..2..9.....,862193547517426983349785216658217394423569178791348625984651732176832459235974861,
...21..6..2..3....6.7............7..1.96...2326..5..8.....68.7..1..7..3....9..8..,945217368821436957637895241584321796179684523263759184392168475418572639756943812,
....918..9........4...8........7..868..2.9.14.96....7..3......1..41........638..2,367491825981352647425786139142573986873269514596814273238945761654127398719638452,
.......65....7314...4..6....1....4.7.......2.2..3..6.13.58.1.....754.2...2.......,193482765652973148784156392519268437436715829278394651345821976867549213921637584,
.......56.46..38.73.....4...2...7.4...5...2...7......85..26.....8..3.....1..5473.,791482356246513897358976412823697541965148273174325968537269184489731625612854739,
.7.84.2.1...7.1....1..62...4......7.79...85..2.56.7...8.6.9..5..4...6.........9..,673845291982731645514962837468359172791428563235617489826193754149576328357284916,
83...6........27....63.1..962.....1...5....6............7..3....196..2.3...7..95.,834976125951842736276351489628439517795128364143567892587293641419685273362714958,
.38.....6..45........3.6.....5.....4.8.6..1.916..945.....85..41..3..7.8....1.....,938471256674529813251386497395218764487635129162794538726853941513947682849162375,
....45......39.....94..6..5.31........2.....16....8....198..5.4....2.3.8.2..541..,276145983158397642394286715931472856582639471647518239719863524465721398823954167,
..9..712.51.8...39...1....83...4....95....8.3.84...5.........1.......3.727.4...8.,849357126512864739763129458327548691956712843184693572638975214495281367271436985,
7.1...9.....1...539....8.....3......87..6..1..4...75.......5....1..74.6..5.9.1...,761253948284196753935748621593412876872569314146387592427635189319874265658921437,
4.7.9..6.8.62...4.25....9......5...8...8..714..8471.2........7...418......5......,417598362896237145253614987741952638529863714638471529962345871374189256185726493,
.5.....12..2...5....1...97.36...4.2....3.5...9..2.1.........7....75......1.6..345,456937812792816534831452976365784129124395687978261453543129768687543291219678345,
2..8.7......4..........3..7.4...9..86....47.3..7....6.8.5.2....76.3....9....95...,239867541178452936456913827543679218621584793987231465895126374762348159314795682,
5......1.9.7..3....139.......68....2.......6.7...5.3.91.....6....913..78...5.2..1,564287913987413526213965847346879152895321764721654389132748695459136278678592431,
2.1..9.674....7.3....3..1.....95..7...21.3..4....72.53..3.41...1....6......5.....,231489567495617832867325149386954271572163984914872653653241798148796325729538416,
...8....1....6....1.6..38..87..9.63..4...7...69.....753......1.5...7........5...9,732845961984761253156923847871594632245637198693218475327489516569172384418356729,
.6..9...55.8.2.4...3.8...79..2...3.......5.9.8.3.4..5....7....8....3.6..7....9...,267493185598127463431856279952678314674315892813942756325761948189534627746289531,
..915....6......453.4.........4.3......5..1..2....8.3..3..865.1........41.8...692,789154263621837945354692718917423856843569127265718439432986571596271384178345692,
...56.1..8.....2..4....8.6.9..2.6..3.8.359..4..............2...3.....9...2.8..315,792563148865471239431928567947216853186359724253784691579132486318645972624897315,
.5..2..7....358....8.7..4..4..579.....263................2..96...9...34.....63827,953124678764358192281796453418579236592631784376482519837245961629817345145963827,
..6.9.5..78...3........814..9..4685......16......3...9.58.17...673.......4.......,216794583784153296539628147397246851825971634461835729958317462673482915142569378,
.6....85..2....6.........1.9..6.5..3.8..1...5..2.9.7..79...6..8...3.....1..2..97.,361924857827531649459867312974685123683712495512493786795146238248379561136258974,
83...7.....9.1.7..2..6...9..9..2..41.2..3..........6.7......863.7....1..38.9....2,835497216469512738217683594598726341726134985143859627954271863672348159381965472,
7........41327.6....9......67...9.....21..4...94.......659...212..73...4......53.,756391842413278695829546317678429153532167489194853276365984721281735964947612538,
......7.2.6..2739..3........8..6.9.7....8...5.427.5...........4.7...268..239.....,198653742564127398237498156385264917716389425942715863659871234471532689823946571,
4....3.6.....2.79...........6.2....3..7.68.24.4.31.67...1.......729.....9..1.....,419753862583624791726891345168247953397568124245319678631472589872935416954186237,
.6..9......52....49....43..84.9.52...5...2..3..7...4..5.9....8....86....6...3....,461398725385276914972154368843915276156742893297683451539421687714869532628537149,
..3..1..445.....2....7.........18...17.2...9.....5.3.1.4...9...5.......3.9.42....,823591764457863129619742538935618472178234695264957381741389256582176943396425817,
86....1.......3.972...4.8.34...6..1...24......9.1..3...........63...9.8.1..2.6...,863975124541823697279641853485367912312498576796152348928534761634719285157286439,
..........6...723.371..68...4...3...85..6...4..2.5.............2..51..6...37.8...,429385176568147239371296845146873592857962314932451687715634928284519763693728451,
..1.83597.851..............9....7..55.7..4.1...6.9.....68....7.......8.3..9....54,421683597785129346693745281912837465537264918846591732368452179154976823279318654,
.56...3..1....2..........97....352.9.........2.7..986..61........9..618.8.3....2.,956874312174392658382561497618735249495628731237149865561283974729456183843917526,
.2.6..15..6......3......4..6...9.......7.4.2...52.37...3..1..7295...2.41......5..,329648157764951283581327496672195834193784625845263719438516972956872341217439568,
5...76....349..6....8.....5.6.394......5...1.........6...7.8461...1..3......5..78,529876143734915682618423795165394827283567914497281536952738461876142359341659278,
23..19.8.8.5...7......8..2............865431.5..9....29.7..8..6.1...6.........2..,236719485845362791179485623394821567728654319561973842957248136412536978683197254,
12....3....83....49......81.5.8...93...5..7.......9...8....1....924....84.3......,127984365568312974934765281751826493289543716346179852875231649692457138413698527,
.3.......6.214....1.7......71.68...3...........3..4.6.8..51...2......1.7...263..8,934872516682145379157936284715689423468321795293754861849517632326498157571263948,
.1.3.8...4....5.36..6...1.7...8...2..7.43...1..8.................4671....6.52...3,517368249492715836386249157143897625675432981928156374751983462234671598869524713,
51..................49.7.3...9.1.2.8..8.....972.8.941.9.....8...4235.7....1.....4,517463982293581647684927135439615278168742359725839416956174823842356791371298564,
..7...9.2.1..7.....38..251.352..............8.61..7..9........1....9578.79....3..,547138962219576843638942517352489176974361258861257439485723691123695784796814325,
...9....7.5..7.8.68...65.4.6.5..2....91......28...9....7....4...291..5..1....4..9,364928157952471836817365942645782391791643285283519674578296413429137568136854729,
.7.9..........2...2..61...9.39.8..6.6....7...1..2.....81..9..379..7..2.1...5.....,471953628596872314283614759739185462628347195154269873812496537965738241347521986,
256.....19...........5.8....92.1..871...........9.5..647.89....6....1.74....7..9.,256739841938142765714568923592316487163487259847925136475893612689251374321674598,
.4...1.56....3.8.....2..1..8.6.5.....1.3.....53..1......3....4.49....3..1.8.6...5,342871956951634872687295134876952413219346587534718629763589241495127368128463795,
.95..8...8..4..3....7.....2...7.4....54.2..9....95...3.3...2..5....15......3..7..,195238674862497351347561982923784516654123897781956243439872165278615439516349728,
...3...2.7...84..6..456.73...7..9.5.3....84.......3892......369....7......5...24.,618397524753284916294561738847129653329658471561743892472815369936472185185936247,
6.7.........53......1..25...6...71....2.8.....7.36..5..2..74...3......4..8....6.1,657819423249536718831742569563927184192485376478361952926174835315698247784253691,
.......566...1.......4.3.......37..9..5.9...8......1....8.....11.79..5..5...8.36.,381279456674815923259463817816537249725194638943628175468352791137946582592781364,
8..9..67....1......64..7.81.7....8............1......59..8.4.1..4..3......5.6.7.3,851943672792186354364527981573412869428695137619378425937854216246731598185269743,
7....12..61.2..9.......6..19..75.824.7..6.5..85...9.........782...............469,738591246614237958529846371961753824472168593853429617346915782297684135185372469,
5..6...7.691.8..4...4.5.8.......25..8...1..6..56.....9.7.......4......98.6.....51,583641972691287345724359816317962584849513267256874139178495623435126798962738451,
..86...97.27......4.....2.3.8.267........38..31.9......7...4..8..4............1.6,138625497527439681469871253985267314742513869316948572671354928294186735853792146,
...3..6.252..7.84..8....1....584........6....2....7...7..1......5..84..3.415..7..,417398652523671849986452137175843296839265471264917385798136524652784913341529768,
18...3..9..5..13..9.......2.485.....3...7..21..79..4........9...3..8.5.......5...,184253679725691384963847152648512793359476821217938465576124938432789516891365247,
.87.....5...2...4924.9.3...7..1..52.3....5..7....4.......4...5......71.4...59178.,987614235531278649246953871764139528392865417815742963179486352658327194423591786,
.71.6.3.....8..1.9....2......9.7.8.2.3..5.9.........7..63....1.9281.......7...6..,871964325256837149394521786149673852732458961685219473463795218928146537517382694,
.9...8..4...4..7.........6...26...8.1..97...3.4..1.....7.1.3..84..2.......67..1..,697328514825461739314597862752634981168972453943815276579143628481256397236789145,
.6...............1..7........589.71.6..4....8..8..35.9.5..7..641..96.8...7.5.....,264185973583749621917326485345892716691457238728613549859271364132964857476538192,
2...16..8..93..71......9.....6.......8...13.6......18..67.2....9..8.5.63.25...9..,273416598659382714418759632196238475784591326532647189367924851941875263825163947,
3....59.....3......52487.......5....4...6..8.2.6....93.4...93.....7.......924..7.,381625947764391852952487136893152764475963281216874593647519328528736419139248675,
....75..6..34..8........3.7..1...97.93....6..........1....19.6.8.9..45.37.6.5..1.,482375196173496852695182347241638975937521684568947231354219768819764523726853419,
.....4..6.4..897....5.3...........679.8476..5..42..8.......5.....2...9.....843...,823714596146589723795632148251398467938476215674251839467925381382167954519843672,
....3..1962..4.....3..6...2..5.27...7.....3............9.4...2...325..97.....913.,478532619621948753539761482315627948782194365964385271897413526143256897256879134,
..5..8.47...7..95..145.....9...3.28.2.....7...31........24.1..........9....2.3...,695328147328714956714569328957136284286945713431872569872491635143657892569283471,
.354.7...8...1...4.7...9.3..2.....5....5..9.89..7.12.....9...7.......4.1......8.5,635427189892315764471689532126894357347562918958731246214958673583276491769143825,
..4.....2.1...2..6.52...9........8....6....4.49....2658..5.1.9...3.94...5..2....3,974856132318972456652413987235649871786125349491387265827531694163794528549268713,
7...3.....8.......69.7.......94..8.746..7..3....15...65...........8..91..74...3..,741235689285619743693784152159463827462978531837152496518396274326847915974521368,
.6953..474...695.......1...1.6.......7.9..6......4...53948.....5.83....6.........,269538147481769532753421968146285793875913624932647815394876251518392476627154389,
4.65....9..5.......9...1...5..2..4..7..9.6.5..3.......927...5.....7..1.43....9.62,416587329875392641293641875569238417784916253132475986927164538658723194341859762,
7.............45.....8.5....95.8...78...924..2.46.....4...39.6...72...54.....623.,758923146963174582142865379395481627876392415214657893421539768637218954589746231,
.2...6...............8...176..7.24..5......6..84..1.2.....94..679.5......6.1....5,827916534145273698936845217619782453572439861384651729258394176791568342463127985,
...254..........6..8..6.5..5.4.1.8....3..892...8....53...6.3.9.46.92.............,916254738745839162382167549594312876673548921128796453851673294467921385239485617,
..2..3..9..69.58..3.17...6.......9.....5...81.6....35.......6987..29.1.5......7..,582613479476925813391748562815372946937564281264189357123457698748296135659831724,
...3...........7..352.......7.138.5..85..4.3..4...72......59...7..8......287..31.,867392145419685723352471896276138954185924637943567281631259478794813562528746319,
.5....7..8.4..13...3.....82...1.......8.52...27.4.....3......78..2..6...6..37..4.,956238714824791365137645982593187426468952137271463859319524678742816593685379241,
14......75......91.2.........2..73.9.83...1..7........3...51.2..5...2..3..47.38..,149528637538674291627319548462187359983245176715936482376851924851492763294763815,
.4..78..5..8.4.3..7..1....4.....7.......3.....56......1.....5.6.8.5..13..9..6..87,341278965528946371769153824213697458974835612856412793132789546687524139495361287,
..9.5..7...6.482....27..6...64..7.851.........9..1.4...8.6............69.....5...,439256871576148293812739654264397185153864927798512436981673542325481769647925318,
..72.1..5...3....2.5....6....1.4..7..647...23......5.....4.6.......29..6.2.1..7..,847261395619357842253894617531642978964785123782913564395476281178529436426138759,
..5.1.7..3..5..2......8..34.4..6....1....3.....2..7...4..62.37.......6.1.7...145.,925314786384576219716982534543168927167293845892457163451629378238745691679831452,
...198........78.....4...1.....7.....169...54.9.5.4.8.5......6.......3.8.89..614.,625198473941357826873462519458671932216983754397524681534819267162745398789236145,
....81....52.46...4.8........9..2.....6...5.8...9..3..9....4..3.6.3....5.8..2.1..,697581432352746981418239657539862714276413598841957326925174863164398275783625149,
